object,temperature,item_index,use_text,label
paperclip,0.0,13,**Seed starter label** (straightened and taped to a pot).,safe
paperclip,0.0,14,**Clasp helper** to hook a bracelet on your own wrist.,safe
paperclip,0.0,15,**Incense stick holder** (bent into a stand).,surprising
paperclip,0.0,16,**Money clip** for a minimalist wallet.,safe
paperclip,0.0,17,**Bubble blower** (bent into a small loop).,surprising
paperclip,0.0,18,**Thread guide** for sewing machines or needles.,safe
paperclip,0.0,19,**Phone stand** (bent into a supportive easel).,surprising
paperclip,0.0,20,**Ornament hook** for a Christmas tree.,safe
paperclip,0.3,1,**SIM card ejector** (the classic emergency tool).,safe
paperclip,0.3,2,**Cherry pitter** (push through the center of a cherry).,safe
paperclip,0.3,3,**Miniature screwdriver** (for tiny glasses screws).,safe
paperclip,0.3,4,**Hem clip** (temporary fix for a fallen pant hem).,safe
paperclip,0.3,5,**Tape starter** (mark the end of a clear tape roll).,safe
paperclip,0.3,6,**Reset button pusher** (for electronics and routers).,safe
paperclip,0.3,7,**DIY earring backs** (emergency replacement).,safe
paperclip,0.3,8,**Zipper pull replacement** (loop through a broken slider).,safe
paperclip,0.3,9,**Cleaning tool** (scrape gunk out of small crevices/keyboard).,safe
paperclip,0.3,10,**Hairpin/Bobby pin substitute** (for a quick updos).,safe
paperclip,0.3,11,**Ornament hanger** (bend into a hook for a tree).,safe
paperclip,0.3,12,**Seed starter label holder** (bend into a stand for tags).,safe
paperclip,0.3,13,**Clutter-free cable organizer** (clip cables to a desk edge).,safe
paperclip,0.3,14,**Emergency cufflink** (slide through shirt cuffs).,surprising
paperclip,0.3,15,**Paint stirrer** (for tiny sample pots).,safe
paperclip,0.3,16,**Letter opener** (unfold and slice through envelopes).,safe
paperclip,0.3,17,**Phone stand** (bend into a supportive easel).,surprising
paperclip,0.3,18,**Thread guide** (help steer thread through a needle).,safe
paperclip,0.3,19,**Pit cleaner** (remove debris from a small hole or nozzle).,safe
paperclip,0.3,20,**Temporary clothing fastener** (close a gap in a loose neckline).,safe
paperclip,0.7,1,**SIM card ejector** for smartphones.,safe
paperclip,0.7,2,**Reset button pusher** for routers and electronics.,safe
paperclip,0.7,3,**Emergency zipper pull** replacement.,safe
paperclip,0.7,4,**Miniature screwdriver** for tiny eyeglasses screws.,safe
paperclip,0.7,5,**Cleaning tool** for narrow crevices or glue nozzles.,safe
paperclip,0.7,6,**Temporary hem fix** for a fallen pant leg.,safe
paperclip,0.7,7,**Tape end marker** to avoid losing the edge of the roll.,safe
paperclip,0.7,8,**DIY cherry pitter** (push through the center of the fruit).,safe
paperclip,0.7,9,**Clasp helper** to hold a bracelet steady while fastening.,safe
paperclip,0.7,10,**Improvised lock pick** for simple diary locks.,surprising
paperclip,0.7,11,**Hair pin/barrette** in a pinch.,safe
paperclip,0.7,12,**Seed starter marker** (bend into a loop to hold a label).,safe
paperclip,0.7,13,**Ornament hook** for a Christmas tree.,safe
paperclip,0.7,14,**Pit remover** for olives.,safe
paperclip,0.7,15,**Cable organizer** (clip cords to the edge of a desk).,safe
paperclip,0.7,16,**Money clip** for a slim wallet.,safe
paperclip,0.7,17,**Etching tool** for scratching designs into soft metal or wax.,surprising
paperclip,0.7,18,**Thread guide** for sewing machines.,safe
paperclip,0.7,19,**Miniature sculpture wire** for art projects.,safe
paperclip,0.7,20,**Bread tie substitute** for closing bags of snacks.,safe
paperclip,1.0,1,**SIM card ejector**: The gold standard for accessing mobile storage.,safe
paperclip,1.0,2,**Emergency zipper pull**: Loop it through a broken slider to restore grip.,safe
paperclip,1.0,3,**Cherry pitter**: Push the curved end through a cherry to pop the stone out.,safe
paperclip,1.0,4,**Tape end marker**: Clip it to the edge of a roll of packing tape to find the start instantly.,safe
paperclip,1.0,5,**Miniature screwdriver**: Bend the tip flat to tighten tiny glasses screws.,safe
paperclip,1.0,6,**Hemming clip**: Hold a fabric fold in place while sewing or ironing.,safe
paperclip,1.0,7,"**Reset button pusher**: Trigger the recessed ""factory reset"" holes on electronics.",safe
paperclip,1.0,8,**DIY ornament hook**: Bend it into an S-shape for holiday decorations.,safe
paperclip,1.0,9,**Clean fingernails**: Use the tip to remove dirt from under nails.,safe
paperclip,1.0,10,**Hairpin substitute**: Twist it to pin back a stray lock of hair in a pinch.,safe
paperclip,1.0,11,**Letter opener**: Straighten one side to slice through envelope glues.,safe
paperclip,1.0,12,**Pit cleaner**: Scrape gunk out of small crevices in a keyboard or remote.,safe
paperclip,1.0,13,**临时 (Temporary) cufflink**: Hold a sleeve together if a button pops.,safe
paperclip,1.0,14,**Clutter-free cord organizer**: Clip a cable to the edge of a desk to prevent it from sliding off.,safe
paperclip,1.0,15,**Seedling marker**: Straighten it and tape a label to the top for small pots.,safe
paperclip,1.0,16,**Wine glass marker**: Bend different shapes onto the rims to identify guests' drinks.,surprising
paperclip,1.0,17,**Lockpicker (Beginner)**: Use two as tension and raking tools for basic padlocks.,surprising
paperclip,1.0,18,**Picture hanger**: Bend it into a hook for lightweight polaroids.,safe
paperclip,1.0,19,**Pasta portioner**: Use the loop as a rough guide for measuring small amounts of spaghetti.,surprising
paperclip,1.0,20,**DIY Compass**: Magnetize the metal and float it on a leaf in water to find North.,surprising
paperclip,1.5,1,"**SIM card ejector** (The classic ""hidden"" purpose)",safe
paperclip,1.5,2,**Emergency zipper pull** (When the metal tab snaps off),safe
paperclip,1.5,3,**DIY cherry pitter** (Push through the center of the fruit),safe
paperclip,1.5,4,**Reset button trigger** (For those tiny recessed factory reset holes),safe
paperclip,1.5,5,**Hem stapler** (Temporary fix for a fallen pant hem),safe
paperclip,1.5,6,** makeshift hair clip** (Bent into a functional bobby pin),safe
paperclip,1.5,7,**Tape end marker** (Slide it under the edge of clear tape),safe
paperclip,1.5,8,**Phone stand** (Bend two clips into cradles for a smartphone),surprising
paperclip,1.5,9,**Clean narrow gaps** (Deep cleaning grime from keyboard creases),safe
paperclip,1.5,10,**Miniature screwdriver** (Flatten the end to turn tiny toy screws),safe
paperclip,1.5,11,"**Letter opener** (For a precise, thin slit through an envelope)",safe
paperclip,1.5,12,**Ornament hook** (Substitute for missing Christmas tree hooks),safe
paperclip,1.5,13,**Seedling labels** (Attach paper tags to plant stakes),safe
paperclip,1.5,14,**Bracelet clasp assistant** (Hold one end of the chain while clasping),safe
paperclip,1.5,15,**Pit cleaner** (Removing avocado pits by piercing and twisting),safe
paperclip,1.5,16,**Clothing cuff aist** (Keeping loose sleeves shrunk up),surprising
paperclip,1.5,17,**DIY fishing hook** (In a desperate survival scenario),surprising
paperclip,1.5,18,**Wine glass marker** (Bend into unique shapes to identify glasses),surprising
paperclip,1.5,19,**Pom-pom tool** (Creating a template for winding yarn),surprising
paperclip,1.5,20,**Lock pick** (For basic a-tension practice locks),surprising
shoe,0.0,1,**Doorstop:** A heavy boot is perfect for propping open a heavy door.,safe
shoe,0.0,2,**Planter:** Use an old sneaker as a quirky pot for succulents.,safe
shoe,0.0,3,**Hammer:** The hard heel of a dress shoe can drive small nails into soft wood.,surprising
shoe,0.0,4,**Sponge Holder:** Place a scrubby sponge inside a shoe to keep it upright.,surprising
shoe,0.0,5,**Bird Feeder:** Hang a boot by the laces and fill it with seed.,safe
shoe,0.0,6,**Dustpan:** Use the stiff sole of a flip-flop to scoop up small debris.,safe
shoe,0.0,7,**Cold Pack Holder:** Slide an ice pack into a shoe to treat a sprained ankle.,safe
shoe,0.0,8,**Hidden Safe:** Stash emergency cash in the toe of a shoe in a closet.,safe
shoe,0.0,9,**Paint Brush Holder:** Stand brushes upright in a boot to keep them organized.,safe
shoe,0.0,10,**Dog Toy:** An old sneaker is a high-value chew toy for puppies.,safe
shoe,0.0,11,**Bookend:** A heavy boot can hold up a row of light paperbacks.,safe
shoe,0.0,12,**Nutcracker:** Place a nut on a hard sole and stomp (carefully).,surprising
shoe,0.0,13,**Pencil Cup:** A high-top sneaker holds pens and pencils perfectly.,safe
shoe,0.0,14,**Weight for a Balloon:** Tie a helium balloon to a heavy shoe to keep it grounded.,safe
shoe,0.0,15,**Improvised Gavel:** Use a heel to bang on a table for attention.,surprising
shoe,0.0,16,**Sanding Block:** Wrap sandpaper around a flat sole for a handheld sander.,safe
shoe,0.0,17,"**Casting Mold:** Fill a shoe with plaster to create a ""foot"" sculpture.",surprising
shoe,0.0,18,**Door Knocker:** Bolt a vintage heel to a door as a unique knocker.,surprising
shoe,0.0,19,**Cable Organizer:** Stuff coiled cables into shoes to keep them from tangling in storage.,safe
shoe,0.0,20,**Emergency Sledge:** Use a heavy boot to flatten a stubborn tent stake.,surprising
shoe,0.3,1,**Hammer substitute:** Use a heavy heel to drive small nails into wood.,surprising
shoe,0.3,2,**Planter:** A vintage boot makes a quirky home for succulents.,safe
shoe,0.3,3,**Doorstop:** A heavy boot weighted with pebbles keeps doors open.,safe
shoe,0.3,4,**Pasta strainer:** A perforated sneaker (cleaned!) for rinsing small berries.,surprising
shoe,0.3,5,**Hidden safe:** Hollow out the heel to hide emergency cash.,safe
shoe,0.3,6,**Paint brush holder:** Prop brushes upright in a boot to keep them from sliding.,safe
shoe,0.3,7,**Ice pack sleeve:** Slip a gel pack inside a sock-shoe to target a specific joint.,safe
shoe,0.3,8,**Bird feeder:** Hang a boot from a tree and fill it with seed.,safe
shoe,0.3,9,**Dustpan:** Use the curve of a heel to scoop debris into a pile.,safe
shoe,0.3,10,**Bookend:** A heavy leather boot holds up a row of novels.,safe
shoe,0.3,11,**Pencil cup:** A high-top sneaker holds pens and markers on a desk.,safe
shoe,0.3,12,**Sanding block:** Wrap sandpaper around a flat sole for a handheld grip.,safe
shoe,0.3,13,**Dog toy:** An old sneaker (laces removed) is a great chew toy.,safe
shoe,0.3,14,**Wine bottle chiller:** A tall boot lined with foil and ice.,surprising
shoe,0.3,15,**Casting mold:** Use the interior shape to cast a concrete garden ornament.,surprising
shoe,0.3,16,**Emergency pillow:** Stuff a shoe with fabric scraps for a makeshift headrest.,surprising
shoe,0.3,17,**Cable organizer:** Use a shoe to hold a tangled coil of extension cords.,safe
shoe,0.3,18,"**Door knocker:** Bolt a small, decorative shoe to a front door.",surprising
shoe,0.3,19,**Nutcracker:** Use the hard sole of a heel to crack walnuts.,surprising
shoe,0.3,20,**Sponge holder:** A shoe keeps a cleaning sponge upright and draining.,surprising
shoe,0.7,1,**Doorstop:** A heavy boot is a perfect wedge for a stubborn door.,safe
shoe,0.7,2,**Planter:** An old rain boot makes a quirky vertical garden for succulents.,safe
shoe,0.7,3,**Hammer:** The hard heel of a dress shoe can drive a small nail into a wall.,surprising
shoe,0.7,4,**Bird Feeder:** Hang a sneaker by the laces and fill it with seed.,safe
shoe,0.7,5,**Cold Pack Holder:** Slip an ice pack inside a shoe to target a specific ankle or foot injury.,safe
shoe,0.7,6,**Dustpan:** Use the curved sole of a flat shoe to scoop crumbs off a table.,safe
shoe,0.7,7,**Hidden Safe:** Stash emergency cash inside the toe of a shoe in a crowded closet.,safe
shoe,0.7,8,**Paint Palette:** Use the rubber sole of a sneaker to mix small amounts of acrylic paint.,surprising
shoe,0.7,9,**Sponge Holder:** Place a damp sponge inside a shoe to keep a workbench surface dry.,surprising
shoe,0.7,10,**Animal Toy:** An old sneaker is a durable chew toy for a large dog.,safe
shoe,0.7,11,**Bookend:** A heavy boot can keep a row of light paperbacks upright.,safe
shoe,0.7,12,**Sound Muffler:** Place a shoe over a noisy vibrating appliance to dampen the sound.,surprising
shoe,0.7,13,**Measuring Tool:** Use your shoe length as a consistent unit of measurement for a room.,safe
shoe,0.7,14,**Sanding Block:** Wrap sandpaper around a heel to create a contoured sanding tool.,safe
shoe,0.7,15,**Temporary Trash Can:** A large boot can hold small scraps of paper while crafting.,surprising
shoe,0.7,16,**Pest Trap:** Use a shoe to trap a spider or bug against a wall before sliding a paper underneath.,surprising
shoe,0.7,17,**Weight for a Balloon:** Tie a helium balloon to a heavy shoe to keep it from floating away.,safe
shoe,0.7,18,**Improvised Gavel:** Bang a heavy shoe on a table to get a room's attention.,surprising
shoe,0.7,19,**Protective Sleeve:** Slide a phone into a sturdy boot to protect it from mud during a hike.,surprising
shoe,0.7,20,**Shoe-Shaped Mold:** Fill a shoe with concrete to create a novelty garden ornament.,surprising
shoe,1.0,1,**Emergency Hammer:** Using the heel to tack in a loose nail.,surprising
shoe,1.0,2,"**Sourdough Starter Vessel:** Using a clean, plastic-lined boot as a fermentation crock.",surprising
shoe,1.0,3,**Doorstop:** A heavy boot weighted with pebbles.,safe
shoe,1.0,4,**Birdhouse:** An old leather boot mounted to a tree.,surprising
shoe,1.0,5,**Improvised Planter:** Succulents growing out of a vintage sneaker.,safe
shoe,1.0,6,**Dustpan:** Using the sole as a scraper to push debris into a pile.,safe
shoe,1.0,7,**Hand Weight:** Filling a shoe with sand for light resistance training.,safe
shoe,1.0,8,**Pasta Strainer:** Using a mesh-style shoe to rinse small berries (non-food contact).,surprising
shoe,1.0,9,**Ball Gag:** For high-intensity theater prop needs.,surprising
shoe,1.0,10,**Cold Compress:** Freezing a wet sneaker to wrap around a swollen ankle.,safe
shoe,1.0,11,**Protective Glove:** Putting a hand inside a sturdy boot to move sharp debris.,surprising
shoe,1.0,12,**Pencil Holder:** A high-top sneaker acting as a desk organizer.,safe
shoe,1.0,13,**Acoustic Dampener:** Placing shoes in the corners of a recording booth to stop echoes.,surprising
shoe,1.0,14,**Laundry Bag:** Using a large rain boot to hold small socks during a wash.,surprising
shoe,1.0,15,**Dog Toy:** An old rubber shoe for a puppy to chew.,safe
shoe,1.0,16,**Wine Bottle Chiller:** A thermal boot used as a cozy for a bottle.,surprising
shoe,1.0,17,**Paint Palette:** Using the flat sole of a rubber shoe to mix acrylics.,surprising
shoe,1.0,18,**Hidden Safe:** Hiding cash in the toe of a shoe in a crowded closet.,safe
shoe,1.0,19,**Sanding Block:** Wrapping sandpaper around a sturdy shoe for uneven surfaces.,safe
shoe,1.0,20,**Temporary Step-Stool:** Stacking heavy boots to reach a slightly higher shelf.,surprising
shoe,1.5,1,**Planter:** A rustic boot makes a quirky home for succulents.,safe
shoe,1.5,2,**Doorstop:** A heavy vintage boot prevents doors from slamming.,safe
shoe,1.5,3,**Hammer Substitute:** A hard-soled heel can drive small nails into soft wood.,surprising
shoe,1.5,4,**Spice Rack:** High-top sneakers tied together act as hanging pods for salt and pepper.,surprising
shoe,1.5,5,**Ice Pack Holder:** Slide a gel pack into a slipper to isolate a swollen ankle.,safe
shoe,1.5,6,**Wildlife Camera Hide:** A large rain boot can camouflage a small trail camera.,surprising
shoe,1.5,7,**Bird Feeder:** Overturned boots wired to a tree limb for seed.,safe
shoe,1.5,8,**Temporary Flask:** A clean waterproof boot serves as an emergency bucket.,surprising
shoe,1.5,9,**Bookend:** Heavy work boots hold a row of novels in place.,safe
shoe,1.5,10,**Chest for Loot:** A small baby shoe as a hidden stash for rings or coins.,surprising
shoe,1.5,11,**Paint Tray:** A small slip-on can hold an odd-shaped pool of paint.,surprising
shoe,1.5,12,**Dust Pan:** A low-profile loafer can sweep crumbs into.,safe
shoe,1.5,13,**Traction Aid:** Taping cardboard to an old sole for walking on ice.,surprising
shoe,1.5,14,**Weighted Base:** Fill a sneaker with sand to hold a foldable map open.,safe
shoe,1.5,15,"**Poundcake Mold:** Greasing a sturdy boot for ""industrial"" shaped cakes.",safe
shoe,1.5,16,**Sound Muffler:** Placing a shoe over a noisy small motor.,surprising
shoe,1.5,17,**DIY Drum:** Hitting a hard leather sole for a rhythmic beat.,surprising
shoe,1.5,18,"**Cat Toy:** An old sneaker is the ultimate ""chew and shred"" toy for kittens.",safe
shoe,1.5,19,**Cable Organizer:** Stuffing tangled cords into a boot to hide them during storage.,safe
shoe,1.5,20,**Rustic Gift Bag:** Filling a boot with candies and snacks for a themed gift.,surprising
